Temperature,Internal Energy_Isolated,Free Energy-Isolated,Entropy-Isolated,Internal Energy_SOC,Free Energy_SOC,Entropy_SOC,Internal Energy_SOC_CFS,Free Energy_SOC_CFS,Entropy_SOC_CFS
300.0,0.0,-0.06822490952160479,0.00022741636507202524,7.614212956037343e-06,-0.04632124718000929,0.0001544295379765551,0.0005926468114750308,-0.03596371270125111,0.00012185453170908926
301.7017017017017,-0.0,-0.06861190433704267,0.0002274163650720154,7.8539771646291e-06,-0.046584040187577,0.0001544303282254595,0.0006006178559414543,-0.03617107276522053,0.00012188080380879512
303.4034034034034,8.881784197001252e-16,-0.06899889915248052,0.00022741636507201887,8.342886633094793e-06,-0.04684683588468052,0.00015443194387778497,0.0006165944638665266,-0.03637852224374351,0.00012193360767699148
305.1051051051051,-0.0,-0.0693858939679184,0.00022741636507201887,8.85626384494742e-06,-0.04710963439096485,0.00015443363090353324,0.0006328182723249753,-0.03658606202057765,0.00012198692871017228
306.80680680680683,-8.881784197001252e-16,-0.06977288878335626,0.00022741636507200846,9.395007034562752e-06,-0.04737243582969756,0.0001544353914444789,0.0006492897096492811,-0.03679369297208644,0.00012204076255552254
308.5085085085085,-8.881784197001252e-16,-0.07015988359879412,0.00022741636507201887,9.960033214184705e-06,-0.04763524032781293,0.00015443722766790395,0.000666009177686,-0.03700141596721306,0.00012209510484635817
310.2102102102102,-0.0,-0.07054687841423199,0.0002274163650720154,1.0552278101982893e-05,-0.04789804801595468,0.0001544391417657772,0.0006829770526293188,-0.037209231867459426,0.00012214995120511662
311.9119119119119,-8.881784197001252e-16,-0.07093387322966985,0.00022741636507201887,1.1172696052774711e-05,-0.04816085902851728,0.00015444113595402577,0.0007001936858501701,-0.03741714152687012,0.00012220529724627817
313.6136136136136,8.881784197001252e-16,-0.07132086804510772,0.00022741636507201887,1.1822259958549353e-05,-0.04842367350368609,0.00015444321247166243,0.0007176594047102469,-0.03762514579202133,0.00012226113857911197
315.31531531531533,-0.0,-0.07170786286054559,0.00022741636507201193,1.2501961138333684e-05,-0.0486864915834759,0.0001544453735799773,0.0007353745133658052,-0.03783324550201425,0.00012231747081037705
317.017017017017,8.881784197001252e-16,-0.07209485767598345,0.0002274163650720154,1.3212809235163547e-05,-0.048949313413768104,0.00015444762156168954,0.0007533392935630268,-0.03804144148847306,0.00012237428954687928
318.7187187187187,8.881784197001252e-16,-0.0724818524914213,0.00022741636507201193,1.3955832082857e-05,-0.04921213914434651,0.00015444995872008517,0.0007715540054160641,-0.03824973457554717,0.00012243159039790168
320.42042042042044,-8.881784197001252e-16,-0.07286884730685918,0.0002274163650720154,1.4732075565682123e-05,-0.049474968928931565,0.0001544523873781671,0.0007900188881744263,-0.03845812557991738,0.0001224893689775932
322.1221221221221,8.881784197001252e-16,-0.07325584212229704,0.0002274163650720154,1.5542603481577544e-05,-0.04973780292521315,0.00015445490987774958,0.0008087341609854803,-0.03866661531080625,0.00012254762090719955
323.82382382382383,-1.7763568394002505e-15,-0.0736428369377349,0.0002274163650720154,1.638849736540493e-05,-0.050000641294881853,0.00015445752857858042,0.0008277000236232013,-0.038875204569991925,0.000122606341817183
325.52552552552555,8.881784197001252e-16,-0.07402983175317278,0.0002274163650720154,1.727085633973502e-05,-0.050263484203658775,0.00015446024585746496,0.0008469166572289133,-0.0390838941518257,0.00012266552734933184
327.2272272272272,8.881784197001252e-16,-0.07441682656861064,0.00022741636507201887,1.8190796917672003e-05,-0.05052633182132368,0.000154463064107338,0.0008663842250129505,-0.03929268484325291,0.0001227251731586547
328.92892892892894,-8.881784197001252e-16,-0.07480382138404851,0.00022741636507201193,1.9149452828770563e-05,-0.050789184321741794,0.00015446598573634097,0.0008861028729665321,-0.03950157742383713,0.00012278527491525922
330.6306306306306,-8.881784197001252e-16,-0.07519081619948637,0.0002274163650720154,2.014797481031394e-05,-0.05105204188288881,0.00015446901316695447,0.0009060727305443272,-0.039710572665787335,0.0001228458283061562
332.3323323323323,-0.0,-0.07557781101492424,0.0002274163650720154,2.1187530403921073e-05,-0.05131490468687456,0.00015447214883501127,0.000926293911325704,-0.03991967133398821,0.00012290682903686422
334.03403403403405,-0.0,-0.07596480583036211,0.0002274163650720154,2.2269303737054713e-05,-0.05157777291996493,0.00015447539518883245,0.0009467665136848602,-0.04012887418603293,0.00012296827283306624
335.7357357357357,-8.881784197001252e-16,-0.07635180064579997,0.0002274163650720154,2.3394495300976814e-05,-0.051840646772602327,0.00015447875468828538,0.0009674906214218737,-0.040338181972258906,0.00012303015544208595
337.43743743743744,8.881784197001252e-16,-0.07673879546123782,0.0002274163650720154,2.4564321710940362e-05,-0.05210352643942455,0.00015448222980380712,0.0009884663043919772,-0.04054759543578577,0.00012309247263429975
339.13913913913916,8.881784197001252e-16,-0.0771257902766757,0.0002274163650720154,2.578001546726938e-05,-0.05236641211928195,0.00015448582301553875,0.0010096936191175132,-0.040757115312555825,0.00012315522020450373
340.8408408408408,-0.0,-0.07751278509211355,0.00022741636507202234,2.704282470489261e-05,-0.05262930401525322,0.0001544895368123713,0.0010311726093812368,-0.04096674233137667,0.00012321839397317312
342.54254254254255,-8.881784197001252e-16,-0.07789977990755143,0.0002274163650720154,2.835401292955453e-05,-0.05289220233465938,0.0001544933736909778,0.0010529033068165106,-0.041176477213966015,0.00012328198978764013
344.2442442442442,1.7763568394002505e-15,-0.07828677472298928,0.00022741636507201887,2.971485876734903e-05,-0.053155107289076374,0.00015449733615497015,0.001074885731457087,-0.04138632067499827,0.0001233460035232059
