Temperature,Z_values
10.0,2.288604897413516e+37
10.99099099099099,1.0976844654197156e+37
11.981981981981981,6.123697494402247e+36
12.972972972972972,3.833523604431973e+36
13.963963963963964,2.625727403874993e+36
14.954954954954955,1.9320424211515095e+36
15.945945945945946,1.506584969792358e+36
16.936936936936938,1.2322144830570154e+36
17.92792792792793,1.0485601103662076e+36
18.91891891891892,9.224147193170147e+35
19.90990990990991,8.344880286969115e+35
20.9009009009009,7.730447240240743e+35
21.89189189189189,7.3065922693937e+35
22.882882882882882,7.024720790738803e+35
23.873873873873876,6.85209897810245e+35
24.864864864864863,6.766123165350614e+35
25.855855855855857,6.750850133661565e+35
26.846846846846848,6.794830252441584e+35
27.83783783783784,6.889716325938634e+35
28.82882882882883,7.029348004770528e+35
29.81981981981982,7.209135542772058e+35
30.81081081081081,7.42563652680109e+35
31.8018018018018,7.676259733176837e+35
32.792792792792795,7.959054405599579e+35
33.78378378378378,8.272557980183076e+35
34.77477477477477,8.615684472089885e+35
35.765765765765764,8.98764158742911e+35
36.75675675675676,9.387868417570278e+35
37.74774774774775,9.81598807618497e+35
38.73873873873874,1.0271771317728098e+36
39.729729729729726,1.0755108318352859e+36
40.72072072072072,1.1265986588531536e+36
41.711711711711715,1.1804473537739424e+36
42.7027027027027,1.2370702601524914e+36
43.693693693693696,1.2964862120401222e+36
44.68468468468468,1.3587186361911527e+36
45.67567567567568,1.4237948224769715e+36
46.666666666666664,1.4917453272826248e+36
47.65765765765766,1.5626034827629697e+36
48.648648648648646,1.6364049909173898e+36
49.63963963963964,1.7131875860443786e+36
50.63063063063063,1.79299075264655e+36
51.62162162162162,1.8758554885516803e+36
52.612612612612615,1.9618241050995393e+36
53.6036036036036,2.0509400578664843e+36
54.5945945945946,2.1432478026702323e+36
55.585585585585584,2.2387926725983057e+36
56.57657657657658,2.3376207725967547e+36
57.567567567567565,2.4397788887876033e+36
58.55855855855856,2.5453144101894488e+36
59.549549549549546,2.654275260922798e+36
60.54054054054054,2.766709841310978e+36
61.53153153153153,2.882666976554819e+36
62.52252252252252,3.002195871877614e+36
63.513513513513516,3.1253460732153816e+36
64.5045045045045,3.252167432674658e+36
65.4954954954955,3.38271007810139e+36
66.48648648648648,3.517024386205052e+36
67.47747747747748,3.65516095876587e+36
68.46846846846847,3.797170601522927e+36
69.45945945945945,3.943104305399346e+36
70.45045045045045,4.093013229770005e+36
71.44144144144144,4.246948687518562e+36
72.43243243243242,4.404962131665676e+36
73.42342342342343,4.567105143380068e+36
74.41441441441441,4.733429421209054e+36
75.4054054054054,4.9039867713870716e+36
76.3963963963964,5.078829099098761e+36
77.38738738738739,5.2580084005892556e+36
78.37837837837837,5.44157675602757e+36
79.36936936936937,5.629586323040928e+36
80.36036036036036,5.822089330847699e+36
81.35135135135135,6.019138074925436e+36
82.34234234234233,6.220784912158179e+36
83.33333333333333,6.427082256413376e+36
84.32432432432432,6.638082574504926e+36
85.31531531531532,6.853838382503581e+36
86.30630630630631,7.074402242360275e+36
87.29729729729729,7.29982675881189e+36
88.28828828828829,7.53016457654235e+36
89.27927927927928,7.765468377574505e+36
90.27027027027027,8.005790878871518e+36
91.26126126126125,8.251184830128029e+36
92.25225225225225,8.501703011733967e+36
93.24324324324324,8.75739823289526e+36
94.23423423423424,9.018323329897552e+36
95.22522522522523,9.284531164500304e+36
96.21621621621621,9.556074622449879e+36
97.2072072072072,9.833006612101487e+36
98.1981981981982,1.0115380063140598e+37
99.1891891891892,1.0403247925395612e+37
100.18018018018017,1.0696663167734087e+37
101.17117117117117,1.0995678777035792e+37
102.16216216216216,1.1300347757236215e+37
103.15315315315316,1.1610723128435026e+37
104.14414414414414,1.192685792606419e+37
105.13513513513513,1.2248805200111214e+37
106.12612612612612,1.2576618014393048e+37
107.11711711711712,1.2910349445877002e+37
108.10810810810811,1.3250052584044926e+37
109.09909909909909,1.3595780530297392e+37
110.09009009009009,1.3947586397395092e+37
111.08108108108108,1.43055233089345e+37
112.07207207207207,1.4669644398855527e+37
113.06306306306305,1.504000281097854e+37
114.05405405405405,1.541665169856912e+37
115.04504504504504,1.5799644223928094e+37
116.03603603603604,1.618903355800548e+37
117.02702702702703,1.6584872880036475e+37
118.01801801801801,1.6987215377198124e+37
119.009009009009,1.7396114244284984e+37
120.0,1.7811622683402966e+37
120.990990990991,1.8233793903679808e+37
121.98198198198197,1.8662681120990962e+37
122.97297297297297,1.9098337557700506e+37
123.96396396396396,1.9540816442415326e+37
124.95495495495496,1.9990171009752407e+37
125.94594594594594,2.0446454500117852e+37
126.93693693693693,2.0909720159497304e+37
127.92792792792793,2.1380021239256963e+37
128.9189189189189,2.185741099595423e+37
129.9099099099099,2.234194269115795e+37
130.9009009009009,2.2833669591277235e+37
131.89189189189187,2.3332644967398446e+37
132.88288288288288,2.3838922095130104e+37
133.8738738738739,2.4352554254454786e+37
134.86486486486484,2.487359472958816e+37
135.85585585585585,2.54020968088444e+37
136.84684684684686,2.5938113784507474e+37
137.83783783783784,2.6481698952708444e+37
138.82882882882882,2.703290561330823e+37
139.81981981981983,2.759178706978517e+37
140.8108108108108,2.8158396629127696e+37
141.8018018018018,2.8732787601731665e+37
142.7927927927928,2.9315013301301748e+37
143.78378378378378,2.9905127044757044e+37
144.77477477477478,3.0503182152140737e+37
145.76576576576576,3.1109231946533173e+37
146.75675675675674,3.172332975396871e+37
147.74774774774775,3.2345528903355634e+37
148.73873873873873,3.2975882726399225e+37
149.72972972972974,3.3614444557528225e+37
150.72072072072072,3.426126773382348e+37
151.7117117117117,3.491640559494987e+37
152.7027027027027,3.557991148309046e+37
153.6936936936937,3.6251838742883187e+37
154.68468468468467,3.693224072135989e+37
155.67567567567568,3.762117076788762e+37
156.66666666666666,3.8318682234111914e+37
157.65765765765767,3.9024828473902016e+37
158.64864864864865,3.973966284329837e+37
159.63963963963963,4.0463238700461616e+37
160.63063063063063,4.119560940562342e+37
161.6216216216216,4.193682832103891e+37
162.61261261261262,4.268694881094086e+37
163.6036036036036,4.344602424149538e+37
164.59459459459458,4.421410798075875e+37
165.5855855855856,4.499125339863619e+37
166.57657657657657,4.577751386684134e+37
167.56756756756755,4.657294275885754e+37
168.55855855855856,4.737759344990014e+37
169.54954954954954,4.819151931687986e+37
170.54054054054055,4.901477373836722e+37
171.53153153153153,4.984741009455866e+37
