Temperature,Internal Energy,Cv
10.0,-1.1481471090556578e-21,2.684453243795207e-23
10.099009900990099,-1.1454892345568507e-21,4.0041681964025027e-23
10.198019801980198,-1.1402180631221875e-21,5.331300077934845e-23
10.297029702970297,-1.134932204699554e-21,5.346395838982483e-23
10.396039603960396,-1.1296311406687568e-21,5.362020596822417e-23
10.495049504950495,-1.1243143421315888e-21,5.378184433370347e-23
10.594059405940595,-1.118981270503667e-21,5.394896814792604e-23
10.693069306930694,-1.1136313781419004e-21,5.412166556297894e-23
10.792079207920793,-1.1082641090060475e-21,5.430001789895424e-23
10.891089108910892,-1.1028788993500282e-21,5.448409933515925e-23
10.990099009900991,-1.0974751784446297e-21,5.467397662416787e-23
11.089108910891088,-1.0920523693254405e-21,5.486970882484227e-23
11.18811881188119,-1.0866098895684232e-21,5.507134705529628e-23
11.287128712871286,-1.0811471520867678e-21,5.527893427552336e-23
11.386138613861386,-1.0756635659495079e-21,5.549250508606016e-23
11.485148514851485,-1.0701585372182412e-21,5.571208554952508e-23
11.584158415841584,-1.064631469801087e-21,5.593769303548758e-23
11.683168316831683,-1.0590817663201247e-21,5.616933609062213e-23
11.782178217821782,-1.0535088289910627e-21,5.640701432734964e-23
11.881188118811881,-1.0479120605127288e-21,5.665071834262485e-23
11.98019801980198,-1.0422908649628203e-21,5.690042965131347e-23
12.07920792079208,-1.0366446487005874e-21,5.715612064291593e-23
12.178217821782178,-1.0309728212711538e-21,5.741775456599746e-23
12.277227722772277,-1.025274796311281e-21,5.768528553062479e-23
12.376237623762377,-1.0195499924532082e-21,5.795865853171136e-23
12.475247524752476,-1.0137978342257936e-21,5.823780950153116e-23
12.574257425742575,-1.0080177529479545e-21,5.852266536224106e-23
12.673267326732674,-1.0022091876194092e-21,5.881314412022494e-23
12.772277227722773,-9.963715857954347e-22,5.910915498571958e-23
12.871287128712872,-9.905044044539202e-22,5.941059847007712e-23
12.97029702970297,-9.846071108508652e-22,5.971736654331967e-23
13.06930693069307,-9.786791833562332e-22,6.002934280921462e-23
13.168316831683168,-9.727201122747829e-22,6.034640265894125e-23
13.267326732673268,-9.667294006514923e-22,6.066841348019337e-23
13.366336633663366,-9.607065650509822e-22,6.099523487018408e-23
13.465346534653465,-9.546511363207628e-22,6.132671884475145e-23
13.564356435643564,-9.485626603292493e-22,6.1662710097068e-23
13.663366336633663,-9.42440698677779e-22,6.200304624857215e-23
13.762376237623762,-9.36284829388938e-22,6.234755810086697e-23
13.861386138613861,-9.300946475686964e-22,6.269606992555695e-23
13.96039603960396,-9.238697660373426e-22,6.30483997511603e-23
14.05940594059406,-9.176098159348032e-22,6.34043596519722e-23
14.158415841584159,-9.113144472943777e-22,6.37637560806909e-23
14.257425742574258,-9.049833295821912e-22,6.412639016505681e-23
14.356435643564357,-8.986161522121883e-22,6.449205803270278e-23
14.455445544554456,-8.9221262502126e-22,6.486055115156292e-23
14.554455445544555,-8.857724787168293e-22,6.523165665957828e-23
14.653465346534654,-8.7929546528669e-22,6.560515772941983e-23
14.752475247524753,-8.727813583743698e-22,6.598083388069674e-23
14.85148514851485,-8.66229953627146e-22,6.63584613485636e-23
14.950495049504951,-8.596410689984167e-22,6.673781344941914e-23
15.049504950495049,-8.530145450233008e-22,6.711866092228557e-23
15.14851485148515,-8.463502450534096e-22,6.750077227700247e-23
15.247524752475247,-8.396480554634985e-22,6.788391416769088e-23
15.346534653465348,-8.329078858122826e-22,6.826785174873892e-23
15.445544554455445,-8.2612966897859965e-22,6.865234900839015e-23
15.544554455445546,-8.193133612561658e-22,6.903716914903122e-23
15.643564356435643,-8.124589424144351e-22,6.942207491495732e-23
15.742574257425744,-8.055664157284516e-22,6.980682895709439e-23
15.841584158415841,-7.986358079674857e-22,7.019119416368433e-23
15.94059405940594,-7.916671693594054e-22,7.057493399387485e-23
16.03960396039604,-7.8466057351325305e-22,7.09578128230064e-23
16.13861386138614,-7.776161173152457e-22,7.133959626258279e-23
16.237623762376238,-7.705339207879892e-22,7.172005147831377e-23
16.336633663366335,-7.634141269235005e-22,7.209894748675557e-23
16.435643564356436,-7.562569014836811e-22,7.24760554840529e-23
16.534653465346537,-7.490624327682423e-22,7.285114914549327e-23
16.633663366336634,-7.418309313558605e-22,7.32240048774088e-23
16.73267326732673,-7.345626298222211e-22,7.359440211770336e-23
16.831683168316832,-7.2725778242166185e-22,7.396212360722282e-23
16.93069306930693,-7.199166647514838e-22,7.432695562802421e-23
17.02970297029703,-7.125395733864094e-22,7.468868828154395e-23
17.128712871287128,-7.051268254878116e-22,7.504711569770567e-23
17.22772277227723,-6.976787583967646e-22,7.540203624889178e-23
17.326732673267326,-6.901957292009024e-22,7.575325281156832e-23
17.425742574257427,-6.82678114275662e-22,7.610057293746544e-23
17.524752475247524,-6.751263088172459e-22,7.644380902572327e-23
17.623762376237625,-6.675407263497762e-22,7.67827785358948e-23
17.722772277227723,-6.599217982160787e-22,7.711730415425226e-23
17.821782178217823,-6.522699730519044e-22,7.744721392412327e-23
17.92079207920792,-6.445857162509058e-22,7.777234139177399e-23
18.019801980198018,-6.368695094099692e-22,7.80925257698029e-23
18.11881188118812,-6.291218497618358e-22,7.840761202274003e-23
18.21782178217822,-6.213432496034857e-22,7.8717450979861e-23
18.316831683168317,-6.135342357064179e-22,7.90218994402194e-23
18.415841584158414,-6.056953487242346e-22,7.932082024852052e-23
18.514851485148515,-5.978271425878989e-22,7.961408235736763e-23
18.613861386138616,-5.899301839009932e-22,7.990156090506505e-23
18.712871287128714,-5.820050513195691e-22,8.018313727202607e-23
