Temperature (K),B2V Hard Sphere,B2V Lennard-Jones,B2V Square Well
100.0,4.9383598972523185e+25,-1.6098853137894527e+26,-2.0846037240047485e+26
100.08751093886735,4.9383598972523185e+25,-1.607445309109604e+26,-2.0807955631999165e+26
100.17502187773472,4.9383598972523185e+25,-1.605011099561401e+26,-2.0769979078317906e+26
100.26253281660208,4.9383598972523185e+25,-1.6025826648158983e+26,-2.0732107164288876e+26
100.35004375546943,4.9383598972523185e+25,-1.600159984638237e+26,-2.069433947730495e+26
100.4375546943368,4.9383598972523185e+25,-1.5977430388871006e+26,-2.065667560685365e+26
100.52506563320415,4.9383598972523185e+25,-1.5953318075141854e+26,-2.061911514450427e+26
100.6125765720715,4.9383598972523185e+25,-1.5929262705636655e+26,-2.058165768389496e+26
100.70008751093887,4.9383598972523185e+25,-1.5905264081716634e+26,-2.0544302820720025e+26
100.78759844980623,4.9383598972523185e+25,-1.5881322005657293e+26,-2.0507050152717293e+26
100.87510938867358,4.9383598972523185e+25,-1.585743628064318e+26,-2.0469899279655488e+26
100.96262032754095,4.9383598972523185e+25,-1.58336067107627e+26,-2.043284980332181e+26
101.0501312664083,4.9383598972523185e+25,-1.5809833101003046e+26,-2.039590132750956e+26
101.13764220527565,4.9383598972523185e+25,-1.578611525724497e+26,-2.0359053458005792e+26
101.22515314414302,4.9383598972523185e+25,-1.5762452986257866e+26,-2.032230580257914e+26
101.31266408301038,4.9383598972523185e+25,-1.5738846095694602e+26,-2.028565797096776e+26
101.40017502187773,4.9383598972523185e+25,-1.57152943940866e+26,-2.0249109574867153e+26
101.4876859607451,4.9383598972523185e+25,-1.5691797690838818e+26,-2.0212660227918368e+26
101.57519689961245,4.9383598972523185e+25,-1.566835579622487e+26,-2.017630954569608e+26
101.6627078384798,4.9383598972523185e+25,-1.564496852138207e+26,-2.0140057145696838e+26
101.75021877734717,4.9383598972523185e+25,-1.5621635678306586e+26,-2.0103902647327303e+26
101.83772971621453,4.9383598972523185e+25,-1.5598357079848642e+26,-2.0067845671892762e+26
101.92524065508188,4.9383598972523185e+25,-1.557513253970763e+26,-2.0031885842585532e+26
102.01275159394925,4.9383598972523185e+25,-1.555196187242742e+26,-1.9996022784473496e+26
102.1002625328166,4.9383598972523185e+25,-1.5528844893391587e+26,-1.9960256124488815e+26
102.18777347168395,4.9383598972523185e+25,-1.5505781418818696e+26,-1.9924585491416603e+26
102.27528441055132,4.9383598972523185e+25,-1.548277126575761e+26,-1.9889010515883733e+26
